Estacion,RETIRO,ADUANA,DERECHO,PLAZA ROMA,PLAZA ITALIA,PARQUE LEZAMA,OBELISCO,CONGRESO,PARQUE LAS HERAS,UCA PUERTO MADERO,TRIBUNALES,PLAZA VICENTE LOPEZ,ONCE,PACIFICO,VIRREY CEVALLOS,PLAZA HOUSSAY,PLAZA DE MAYO,PLAZA ALMAGRO,CMD,INDEPENDENCIA,PLAZA SAN MARTIN,DISTRITO AUDIOVISUAL,PARQUE PATRICIOS ,ARENALES,SUIPACHA,ALSINA ,EMMA DE LA BARRA,PLAZA GšEMES,MONTEVIDEO,PLAZA BOEDO
RETIRO,11578,11687,18500,18131,4519,4115,7668,3705,6902,22550,7842,6345,1030,2901,857,3272,6098,501,30,3526,2004,145,44,1157,1896,852,4613,780,61,
ADUANA,10384,14300,2346,4847,921,5760,3407,2705,1545,5248,3042,1526,1249,614,1016,878,4426,788,8,1773,1409,27,106,314,898,660,423,107,41,
DERECHO,21394,4277,12940,6181,7610,1867,2543,1897,6672,5990,4769,6065,903,6733,357,2642,1537,1717,7,969,2056,309,38,1054,760,309,491,921,57,
PLAZA ROMA,21302,5845,4721,18138,2815,5004,4441,2842,4959,9498,4530,4823,1743,1925,1148,2812,6804,1280,12,2666,3154,89,59,1185,1182,754,2731,533,75,
PLAZA ITALIA,10808,2154,10064,4310,16677,588,1633,1668,4072,1836,1921,3315,939,3808,524,2529,808,2277,,624,1362,358,70,484,261,161,317,1035,24,
PARQUE LEZAMA,5918,5966,1245,5526,540,16457,2753,3442,853,4398,1913,1184,1569,572,2136,1457,4132,841,120,2344,846,31,239,322,462,483,676,106,40,
OBELISCO,4915,3554,1221,3774,726,1819,15745,3985,1490,1882,4083,2930,3633,456,2293,2516,4042,1625,25,5210,2737,94,140,901,1336,935,433,222,63,1
CONGRESO,3496,2819,1682,2224,1089,2199,5076,11593,2241,2391,4567,3543,4550,686,5152,3154,4263,3160,25,4788,1809,231,478,691,1278,816,285,421,163,
PARQUE LAS HERAS,13969,3435,8030,5740,3336,993,3098,2709,15616,3611,3220,5958,1773,4250,791,4723,1665,3996,15,1807,2513,919,268,1750,848,357,717,1296,75,2
UCA PUERTO MADERO,22081,7667,2772,12005,1121,4209,2342,2779,2405,14054,2728,3277,632,493,1342,1394,6186,807,36,2967,2078,27,185,677,482,392,1164,237,19,1
TRIBUNALES,5097,2951,2270,3032,722,1242,4560,3812,2531,2310,10849,3024,2424,784,1657,2856,4508,1748,6,2390,2339,88,81,664,1055,706,254,422,54,2
PLAZA VICENTE LOPEZ,5106,2155,3675,3612,2315,828,3199,3416,4201,4321,3232,9029,1451,2186,1076,2435,1866,995,19,1738,3103,216,74,1572,1308,410,409,908,72,
ONCE,1682,1414,1450,1610,898,1313,5878,5226,2239,1004,3463,2064,5196,1063,1701,5438,4021,2828,12,2547,1379,253,532,592,959,839,200,514,76,2
PACIFICO,7655,1512,9198,2433,3117,670,1187,1420,4108,1585,1479,3384,1057,13879,316,3007,873,2090,3,641,1150,635,251,734,407,237,421,1164,35,1
VIRREY CEVALLOS,1149,769,310,1128,346,1051,2709,6131,549,1209,1907,1609,1792,405,5080,2830,2451,1264,31,1785,712,92,353,221,486,305,125,188,133,1
PLAZA HOUSSAY,2709,1741,1645,2095,1351,1123,3500,3099,3297,1522,3486,2441,3784,2107,1678,8005,2743,2732,14,2366,1774,424,231,725,988,534,203,829,122,
PLAZA DE MAYO,6501,2901,996,4495,449,1898,3742,5566,1451,3631,5090,2570,4890,741,2788,2778,13226,3520,37,4120,3516,156,237,907,2202,1026,830,453,114,4
PLAZA ALMAGRO,1243,1126,1468,1537,1533,999,3570,3443,4317,1289,2447,1437,1995,2144,852,3742,1951,8687,30,2211,857,678,627,407,682,525,151,1071,85,2
CMD,62,21,3,60,3,220,60,79,10,138,80,84,140,2,46,54,72,22,143,67,18,4,23,3,5,22,4,5,2,
INDEPENDENCIA,2720,1566,582,2647,418,1467,5746,4442,1312,3369,2657,1978,1660,437,1476,2334,4444,1705,25,6682,1841,70,150,791,1453,846,500,332,88,1
PLAZA SAN MARTIN,991,963,1112,1602,751,475,2461,1464,1841,795,2478,3733,1162,592,613,2096,2539,619,1,2025,5349,76,52,832,865,382,311,392,38,
DISTRITO AUDIOVISUAL,599,95,449,177,432,62,212,297,593,71,166,240,172,774,71,479,86,657,2,132,271,969,61,223,248,134,40,379,18,
PARQUE PATRICIOS ,130,148,177,177,85,253,401,980,398,243,224,157,503,239,523,417,322,703,15,635,85,12,1795,214,188,105,40,213,11,
ARENALES,441,208,567,568,351,154,768,492,732,397,599,1258,446,210,108,481,518,106,1,594,604,85,18,1565,742,478,106,385,51,1
SUIPACHA,1516,798,486,864,339,459,1259,1244,756,474,1071,1719,910,302,339,956,1714,582,2,1646,873,375,90,1049,4264,1261,623,536,103,2
ALSINA ,563,644,116,508,174,214,766,669,157,246,571,348,702,101,311,323,821,537,9,876,494,63,82,561,880,1788,90,165,29,
EMMA DE LA BARRA,4161,675,514,3660,101,529,271,228,297,1048,380,529,60,130,294,222,1548,56,1,271,541,11,33,440,673,180,3206,143,9,
PLAZA GšEMES,1682,143,878,607,782,112,425,651,950,278,605,942,686,1105,134,1060,285,1110,2,326,348,277,245,666,367,178,237,2312,71,2
MONTEVIDEO,51,32,17,38,9,11,95,109,36,11,59,55,58,12,70,74,102,14,,71,39,8,5,34,57,32,11,23,224,
PLAZA BOEDO,1,,,1,,1,3,3,3,1,2,,3,1,1,2,1,5,,11,,,1,1,2,1,,1,1,7
